Date,Temp
1981-01-01,20.7
1981-01-08,16.585714285714285
1981-01-15,19.214285714285715
1981-01-22,18.514285714285712
1981-01-29,16.814285714285713
1981-02-05,17.571428571428573
1981-02-12,16.585714285714285
1981-02-19,19.24285714285714
1981-02-26,16.142857142857142
1981-03-05,17.34285714285714
1981-03-12,13.828571428571433
1981-03-19,12.52857142857143
1981-03-26,11.328571428571427
1981-04-02,15.071428571428571
1981-04-09,15.728571428571431
1981-04-16,12.0
1981-04-23,11.257142857142856
1981-04-30,9.185714285714283
1981-05-07,11.228571428571428
1981-05-14,8.842857142857143
1981-05-21,6.3
1981-05-28,10.514285714285714
1981-06-04,11.314285714285717
1981-06-11,5.728571428571429
1981-06-18,7.4
1981-06-25,5.485714285714287
1981-07-02,9.485714285714286
1981-07-09,7.542857142857144
1981-07-16,6.242857142857142
1981-07-23,8.742857142857144
1981-07-30,7.614285714285715
1981-08-06,6.957142857142857
1981-08-13,6.0
1981-08-20,9.742857142857144
1981-08-27,6.2
1981-09-03,7.628571428571427
1981-09-10,10.128571428571428
1981-09-17,10.985714285714284
1981-09-24,9.842857142857142
1981-10-01,9.77142857142857
1981-10-08,10.599999999999998
1981-10-15,9.157142857142857
1981-10-22,10.328571428571433
1981-10-29,10.071428571428571
1981-11-05,11.585714285714287
1981-11-12,11.371428571428572
1981-11-19,10.342857142857142
1981-11-26,12.471428571428572
1981-12-03,13.871428571428572
1981-12-10,13.257142857142856
1981-12-17,13.45714285714286
1981-12-24,13.4
1981-12-31,15.028571428571428
1982-01-07,14.328571428571427
1982-01-14,16.714285714285715
1982-01-21,19.61428571428572
1982-01-28,15.842857142857142
1982-02-04,15.128571428571428
1982-02-11,16.42857142857143
1982-02-18,19.32857142857143
1982-02-25,14.114285714285714
1982-03-04,12.585714285714284
1982-03-11,15.257142857142858
1982-03-18,16.514285714285716
1982-03-25,15.042857142857144
1982-04-01,13.785714285714286
1982-04-08,11.600000000000003
1982-04-15,14.328571428571433
1982-04-22,9.5
1982-04-29,10.7
1982-05-06,10.44285714285714
1982-05-13,8.914285714285715
1982-05-20,8.571428571428573
1982-05-27,9.62857142857143
1982-06-03,9.171428571428573
1982-06-10,2.742857142857143
1982-06-17,7.328571428571428
1982-06-24,6.871428571428572
